genres,title,tags,id,developer,Añio,price
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650,Apillo,2018,1.59
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271,Poppermost Productions,2018,14.99
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690,Apillo,2018,1.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279,Poppermost Productions,2018,59.99
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",768060,Tero Lunkka,2018,0.99
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,"['Simulation', 'Racing', 'Sports']",775880,FrozenPepper,2017,2.99
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,"['Simulation', 'Racing', 'Sports']",775881,FrozenPepper,2017,2.99
"['Action', 'Indie']",DinoBlaster,"['Indie', 'Action']",653960,Casey Labrack,2018,4.99
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010,Stainless Games Ltd,1997,9.99
['Action'],Half-Life,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70,Valve,1998,9.99
"['Action', 'Indie', 'RPG']",Fallen Mage,"['Action', 'RPG', 'Indie']",752360,dev4play,2016,1.99
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",766850,ETGgames,2018,0.99
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110,"lalalaZero,Urbanoff",2018,0.99
['Strategy'],Disciples II: Gallean's Return,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640,Strategy First,2006,6.99
['Strategy'],Disciples II: Rise of the Elves,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630,Strategy First,2006,6.99
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400,Outerlight Ltd.,2006,9.99
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920,Ultraint,2017,7.99
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,"['Indie', 'Action', 'Adventure', 'RPG']",603280,TPM.CO SOFT WORKS,2017,10.99
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110,Wonderbox Games,2017,9.99
"['Action', 'Indie']",Orbitality,"['Indie', 'Action']",753100,Wonderbox Games,2017,9.99
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']",764280,Mad Unicorn Games,2017,1.99
['Action'],Advent Rising,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800,GlyphX Games,2005,9.99
"['Indie', 'Strategy']",DEFCON,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520,Introversion Software,2006,9.99
"['Action', 'Indie', 'RPG']",The Ship: Single Player,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420,Outerlight Ltd.,2006,9.99
"['Indie', 'Simulation']",Garry's Mod,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000,Facepunch Studios,2006,9.99
['Racing'],RACE - The WTCC Game,"['Racing', 'Simulation']",4230,SimBin,2006,39.99
"['Casual', 'Indie']",Zen of Sudoku,"['Casual', 'Indie', 'Puzzle']",4900,Unknown Worlds Entertainment,2006,0.0
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,"['Casual', 'Indie', 'Singleplayer']",2520,"CINEMAX, s.r.o.",2006,4.99
['Strategy'],Ghost Master®,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200,Sick Puppies,2003,4.99
['Strategy'],Vegas: Make It Big™,"['Strategy', 'Simulation', 'Management']",6210,Deepred,2006,4.99
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300,Funcom,2006,19.99
['Racing'],FlatOut 2™,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990,Bugbear Entertainment,2006,9.99
['Racing'],FlatOut,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220,Bugbear Entertainment,2005,7.49
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510,"CAPCOM Co., Ltd.",2007,14.99
['Strategy'],CivCity: Rome,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980,"FireFly Studios,Firaxis Games",2006,9.99
['RPG'],Arx Fatalis,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700,Arkane Studios,2002,4.99
"['Action', 'Adventure', 'RPG']",The Longest Journey,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310,Funcom,2000,9.99
['Strategy'],Civilization IV®: Warlords,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990,Firaxis Games,2006,4.99
['Strategy'],Railroad Tycoon 3,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610,PopTop,2003,9.99
['Strategy'],Sid Meier's Railroads!,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600,"Firaxis Games,Feral Interactive (Mac)",2006,9.99
['Strategy'],Railroad Tycoon II Platinum,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620,PopTop,1998,4.99
['Strategy'],X-COM: Terror From the Deep,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650,"MicroProse Software, Inc",1995,4.99
"['Action', 'Adventure']",Tomb Raider: Anniversary,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000,"Crystal Dynamics,Feral Interactive (Mac)",2007,8.99
['Action'],Devil May Cry® 3 Special Edition,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550,"CAPCOM Co., Ltd.",2006,19.99
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200,Telltale Games,2006,19.99
['Action'],Final DOOM,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",2290,id Software,1996,4.99
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,"['Adventure', 'Action']",8210,Telltale Games,2006,19.99
['Action'],Ultimate Doom,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",2280,id Software,1995,4.99
['Action'],Master Levels for Doom II,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",9160,id Software,1995,14.99
['Action'],DOOM II,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",2300,id Software,1994,4.99
['Action'],Wolfenstein 3D,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",2270,id Software,1994,4.99
['Action'],Return to Castle Wolfenstein,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",9010,Gray Matter Studios,2001,4.99
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",9040,Ritual Entertainment,1997,2.99
['Action'],Spear of Destiny,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",9000,id Software,1993,2.99
['Action'],BloodRayne,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",3810,Terminal Reality,2003,9.99
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",9030,Rogue Entertainment,2007,2.99
['Action'],QUAKE,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",2310,id Software,2007,4.99
['Strategy'],Genesis Rising,"['Strategy', 'Space', 'Sci-fi', 'RTS']",3230,Metamorf,2007,4.99
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",9310,Relic Entertainment,2006,12.99
"['Action', 'RPG']",BioShock™,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",7670,"2K Boston,2K Australia",2007,19.99
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",4570,Relic Entertainment,2006,12.99
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",4580,Relic Entertainment,2006,12.99
['Strategy'],Rome: Total War™ - Collection,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",4760,The Creative Assembly,2004,9.99
['Strategy'],Rome: Total War™ - Alexander,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",4770,The Creative Assembly,2006,4.99
['Casual'],Mystery Case Files: Madame Fate®,"['Casual', 'Hidden Object']",50970,Big Fish Games,2007,6.99
['Action'],Manhunt,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",12130,Rockstar North,2004,9.99
['Racing'],Midnight Club 2,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",12160,Rockstar San Diego,2003,9.99
['Action'],Max Payne 2: The Fall of Max Payne,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",12150,Remedy Entertainment,2003,9.99
"['Action', 'Adventure']",Tomb Raider: Legend,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",7000,Crystal Dynamics,2006,6.99
['Action'],Max Payne,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",12140,Remedy Entertainment,2001,9.99
['Strategy'],Command &amp; Conquer: Red Alert 3,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",17480,EA Los Angeles,2008,19.99
['Casual'],PuzzleQuest: Challenge of the Warlords,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",12500,Infinite Interactive,2007,9.99
"['RPG', 'Casual', 'Adventure']",Culpa Innata,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",12310,Momentum Digital Media Technologies,2007,9.99
['Strategy'],Prison Tycoon 3™: Lockdown,"['Strategy', 'Simulation']",12510,"Gamebryo,Virtual Playground",2007,9.99
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,"['Action', 'Adventure', 'Strategy', 'Hunting']",12530,SCS Software,2007,9.99
['Racing'],18 Wheels of Steel: American Long Haul,"['Simulation', 'Racing', 'Driving', 'Open World']",12520,SCS Software,2007,9.99
['Action'],Conflict: Denied Ops,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",8100,Pivotal Games,2008,5.99
['Action'],ARMA: Combat Operations,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",2780,Bohemia Interactive,2007,7.99
['Action'],Desperados 2: Cooper's Revenge,"['Action', 'Western', 'Strategy', 'Tactical']",9710,Spellbound,2006,9.99
"['Action', 'Adventure']",Death to Spies,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",9800,Haggard Games,2007,4.99
['Action'],Act of War: High Treason,"['Action', 'Strategy', 'RTS']",9760,Eugen Systems,2006,2.99
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",2700,"Frontier,Aspyr (Mac)",2006,19.99
['Action'],Act of War: Direct Action,"['Action', 'Strategy', 'RTS']",2710,Eugen Systems,2005,2.99
['Action'],Unreal 2: The Awakening,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",13200,"Epic Games, Inc.",2003,14.99
['Action'],Unreal Gold,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",13250,"Epic Games, Inc.",1998,9.99
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,"['Indie', 'Casual', 'Ninja']",13000,Sanzaru Games,2008,4.99
['Action'],Tom Clancy's Splinter Cell®,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",13560,Ubisoft,2003,9.99
['Action'],Far Cry®,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",13520,Crytek Studios,2004,9.99
['Action'],Unreal Tournament: Game of the Year Edition,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",13240,"Epic Games, Inc.",2000,9.99
['Action'],Tom Clancy's Rainbow Six® Vegas,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",13540,Ubisoft Montreal,2006,9.99
['Simulation'],Silent Hunter® III,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",15210,Ubisoft,2005,9.99
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,"['Casual', 'Simulation']",16180,Last Day of Work,2008,9.99
['Casual'],Mystery P.I.™ - The Vegas Heist,"['Casual', 'Hidden Object']",3520,SpinTop Games,2008,4.99
['Casual'],Luxor,"['Casual', 'Match 3']",15970,MumboJumbo,2008,9.99
['Casual'],Reaxxion,"['Casual', 'Arcade']",15950,MumboJumbo,2008,9.99
['Casual'],Little Farm,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",15960,MumboJumbo,2008,9.99
['Casual'],7 Wonders II,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",15900,MumboJumbo,2008,9.99
['Casual'],Luxor Amun Rising,['Casual'],15910,MumboJumbo,2005,9.99
['Casual'],Luxor 3,"['Casual', 'Puzzle']",15930,MumboJumbo,2007,9.99
['Simulation'],Petz® Horsez® 2,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",15160,Ubisoft,2007,9.99
['Casual'],Luxor 2,['Casual'],15920,MumboJumbo,2005,9.99
"['Action', 'Adventure']",Rayman Raving Rabbids™,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007,9.99
['Simulation'],Silent Hunter®: Wolves of the Pacific,"['Simulation', 'World War II', 'Naval', 'Military']",15200,Ubisoft Romania,2007,9.99
['Simulation'],IL-2 Sturmovik: 1946,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",15320,1C: Maddox Games,2006,9.99
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Simulation', 'World War II', 'Naval']",15240,Ubisoft Romania,2008,9.99
['Adventure'],Bone: Out From Boneville,"['Adventure', 'Point & Click']",8310,Telltale Games,2005,9.99
['Racing'],Midnight Outlaw: 6 Hours to SunUp,['Racing'],12600,"Merscom,Babylon",2005,9.99
['Adventure'],Bone: The Great Cow Race,"['Adventure', 'Point & Click']",8320,Telltale Games,2006,9.99
['Racing'],Sprint Cars Road to Knoxville,['Racing'],12590,BigAnt Studios,2008,9.99
['Simulation'],Ride! Carnival Tycoon,"['Simulation', 'Management']",12560,Gabriel Entertainment,2007,9.99
['Casual'],Mahjongg Investigations: Under Suspicion,"['Casual', 'Puzzle']",12540,Zemnott,2007,9.99
['Adventure'],Dracula Origin,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",11050,Frogwares,2008,9.99
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",11040,Frogwares,2008,9.99
"['Adventure', 'Indie']",Eternity's Child,"['Indie', 'Adventure', 'Platformer']",19500,"Luc Bernard,SilverSphereStudios",2008,4.99
"['Simulation', 'Strategy']",Pacific Storm Allies,"['Simulation', 'Strategy', 'World War II', 'Naval']",11260,Lesta Studio,2007,7.99
"['Action', 'Indie']",Tank Universal,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",19200,Dialogue Design,2008,4.99
['Racing'],FlatOut: Ultimate Carnage,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",12360,Bugbear Entertainment,2008,19.99
['Adventure'],Oddworld: Abe's Exoddus®,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",15710,Oddworld Inhabitants,1998,2.99
['Adventure'],Oddworld: Abe's Oddysee®,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",15700,Oddworld Inhabitants,1997,2.99
['Racing'],GTR Evolution Expansion Pack for RACE 07,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']",8660,SimBin,2008,7.99
['Strategy'],X-COM: Enforcer,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']",7770,"MicroProse Software, Inc",2001,4.99
['Strategy'],X-COM: Apocalypse,"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']",7660,"MicroProse Software, Inc",1997,4.99
